file_name,transcription
data/test/sp022/sp022-000001_001.mp3,SrI paramAtmane namaH
data/test/sp022/sp022-000002_001.mp3,yaTArTa gItA SrImadBagavadgItA
data/test/sp022/sp022-000003_001.mp3,BagavAn SrIkfzRaH yasmin kAle gItAyAH sadupadeSamprAdAt
data/test/sp022/sp022-000004_001.mp3,tadAnIm tasya manoBAvAH kIdfSAH Asan
data/test/sp022/sp022-000005_001.mp3,te sarve manogatAH BAvAH vaktum na Sakyante
data/test/sp022/sp022-000006_001.mp3,kecana santi BAvAH varRayitum yogyAH kecana BAvaBaNgimayEva prakawayitum arhAH apareSezA BAvAH kriyAtmakAH santi
data/test/sp022/sp022-000007_001.mp3,tAn BAvAn koऽpi janaH tatpaTamAruhyEva jYAtum Saknoti
data/test/sp022/sp022-000008_001.mp3,yasmin stare SrIkfzRaH AsIt
data/test/sp022/sp022-000009_001.mp3,tadeva staram AtmasAt kftvEva kaScit sADanADanaH puruzaH eva jAnAti yat gItA kim kaTayati
data/test/sp022/sp022-000010_001.mp3,saH mahApuruzaH gItAyAH vAkyameva vAramvAram nAvarttayati pratyuta gItoktaBAvAn spazwarUpeRa darSayati
data/test/sp022/sp022-000011_001.mp3,kuto hi yA sTitiH kfzRasya samakzam AsIt sEva sTitiH tasya mahApuruzasya purataH cakAsti
data/test/sp022/sp022-000012_001.mp3,etasmAd eva saH mahApuruzaH sannirIkzate janAn darSayizyati janezu tat saYjAgarayizyati tatpaTe cAlayizyati api
data/test/sp022/sp022-000013_001.mp3,pUjyaSrIparamahaMsajI mahArAjAH api tat starasya eva mahApuruzAH Asan
data/test/sp022/sp022-000014_001.mp3,tezAm vARIBiH antaH preraRABiSca gItAyAH yaH arTaH samprAptaH tasyEva saNkalanam yaTArTagItA asti
data/test/sp022/sp022-000015_001.mp3,svAmI aqagaqAnandaH
data/test/sp022/sp022-000016_001.mp3,gItA mAnavamAtrasya DarmaSAstram asti iti maharzivedavyAsaH
data/test/sp022/sp022-000017_001.mp3,SrIkfzRakAlikam maharzivedavyAsAt pUrvam kimapi SAstram pustakarUpeRa na upalabDam AsIt
data/test/sp022/sp022-000018_001.mp3,SrutajYAnasya imAm paramparAm BaYjayan asO vedacatuzwayam brahmasUtram mahABAratam BAgavatamevam gItA sadfSezu granTezu pUrvasaYcitaBOtikasya taTA aDyAtmikasya ca jYAnarASim saNkalitam kftvA
data/test/sp022/sp022-000019_001.mp3,pariRAme arTAt ante svayam eva nirRayam dattavAn
data/test/sp022/sp022-000020_001.mp3,yat sarvopanizado gAvo dogDA gopAlanandanaH sarvezAm vedAnAm prARaBUtA upanizadAm sAraBUtA varIvarti gItA
data/test/sp022/sp022-000021_001.mp3,yAm gopAlaH SrIkfzRaH dudoho aSAntam jIvam paramAtmanaH darSanonmuKasADanasya sTitim SASvataSAnteH sTitim yAvat anayat
data/test/sp022/sp022-000022_001.mp3,asO mahApuruzaH svakftizu gItAm SAstrasya saYjYAm dadAnaH stutim kftavAn sagarjaMLU GozitavAn ca
data/test/sp022/sp022-000023_001.mp3,gItA samyak aDyayanAnantaram hfdaye DAraRArhA
data/test/sp022/sp022-000024_001.mp3,yA padmanABasya BagavataH SrImuKAnnisftA vARi asti
data/test/sp022/sp022-000025_002.mp3,punaH anyaSAstrARAm saNgrahasya kim prayojanam
data/test/sp022/sp022-000026_002.mp3,gItAyAH sArAMSaH nimnaSlokena vyajyate
data/test/sp022/sp022-000027_002.mp3,arTAt ekamevaSAstram asti yat devakIputrasya BagavataH SrIkfzRasya SrImuKAdgAyitA sEva gItA eka eva prAptavyaH devaH
data/test/sp022/sp022-000028_002.mp3,tasmin gAyane yat satyam pratipAditam tad eva asti AtmA
data/test/sp022/sp022-000029_002.mp3,AtmAnam fte kimapyaparam SASvatam nAsti
data/test/sp022/sp022-000030_002.mp3,tasmin gAyane saH mahAyogeSvaraH kim japanAya kaTitavAn
data/test/sp022/sp022-000031_002.mp3,om
data/test/sp022/sp022-000032_002.mp3,arjuna om akzaya paramAtmanaH nAma asti tasya japam kuru DyAnaYca mama DAraya
data/test/sp022/sp022-000033_002.mp3,gItAyAm varRito Darma eka evAऽsti paramadevasya ekasya paramAtmanaH sevA
data/test/sp022/sp022-000034_002.mp3,tam SradDayA svahfdaye niDehi
data/test/sp022/sp022-000035_002.mp3,astu prAramBata eva gItA BavatAm SAstram samAsIt
data/test/sp022/sp022-000036_002.mp3,BagavataH SrIkfzRasya sahasravarzAnantaram paravarttinaH ye mahApuruzAH ekameveSvaram satyam abruvan te sarve gItAyAH sandeSavAhakAH Asan
data/test/sp022/sp022-000037_002.mp3,ISvarAd eva lOkikataTApAralOkikasuKAnAm kAmanAviDAnam
data/test/sp022/sp022-000038_002.mp3,ISvarAdBayakaraRam anyakamapi ISvaram na svIkaraRam
data/test/sp022/sp022-000039_002.mp3,kintu ISvarIyasADanA ISvaram yAvat gantum lakzyanirDAraRametat sarvam kevalam gItAyAm eva sANgopANga kramabadDam surakzitam vartate
data/test/sp022/sp022-000040_002.mp3,gItAtaH suKaSAntistu milatyeva kintu iyam akzayam anAmayam padamapi dadAti
data/test/sp022/sp022-000041_002.mp3,yadyapi saMsAre sarvatra gItAyAH samAdaro vartate punarapIyam kasyacidDarmasya sampradAyasya vA sAhityapadam na prAptavatI
data/test/sp022/sp022-000042_002.mp3,BArate prAdurBUtA gItA viSvamanIzAyAH nyAsaBUtA virAjate
data/test/sp022/sp022-000043_002.mp3,ato hi asyE rAzwrIyaSAstrasya sammAnam samarpya uttamADamayoH BedaBAvasya taTA kalahaparamparAtaH pIqitaviSvasya sampUrRajanatAByaH SAntipradAnAya prayAsaH karaRIyaH
data/test/sp022/sp022-000044_003.mp3,prAkkaTanam
data/test/sp022/sp022-000045_003.mp3,vastutaH sAmpratam SrImadBagavadgItAyAH wIkAkaraRasya na kApi avaSyakatA pratIyate
data/test/sp022/sp022-000046_003.mp3,kuto hi gItopari SatADikAzwIkAH santi viliKitAH
data/test/sp022/sp022-000047_003.mp3,yAsu wIkAsu paYcASadaDikAH suraBAratyAm eva vilasanti
data/test/sp022/sp022-000048_003.mp3,gItAm ADArIkftya bahUni matAni api sAmpratam pracalanti
data/test/sp022/sp022-000049_003.mp3,yadyapi sarvezAm matAnAm mUlADArarUpeRa gItEva virAjate
data/test/sp022/sp022-000050_003.mp3,vicAraRIyoऽyam praSnaH yad BagavatA yogeSvareRa kimapyekameva sArvaBOmam tattvam pratipAditam
data/test/sp022/sp022-000051_003.mp3,punarapi kAlAntare mataBedAH kutaH prAduraBavan
data/test/sp022/sp022-000052_003.mp3,yaTArTatastu vaktA kimapyekameva parinizWitam tattvam aBivyaYjayati
data/test/sp022/sp022-000053_003.mp3,kintu daSADikasaNKyAkAH SrotAraH tu daSADikaprakAreRa vaktuH ASayam viBAjayanti
data/test/sp022/sp022-000054_003.mp3,janAnAm budDipawale sattvaguRasya rajoguRasya tamoguRasya ca yAdfSaH praBAvaH praBavati
data/test/sp022/sp022-000055_003.mp3,te tenEva stareRa tattaTyam svIkurvanti pracArayanti ca
data/test/sp022/sp022-000056_003.mp3,tataH aDikam te jYAtum na praBavanti
data/test/sp022/sp022-000057_003.mp3,ato hi mataBedAH sahajarUpeRa BavitumarhAH
